proj_id,points,stu_id
PRJ_002,100,STU_074
PRJ_003,85,STU_074
PRJ_012,80,STU_074
PRJ_009,70,STU_074
PRJ_011,60,STU_074
PRJ_007,55,STU_074
PRJ_021,40,STU_074
PRJ_013,40,STU_074
PRJ_005,35,STU_074
PRJ_002,100,STU_007
PRJ_001,100,STU_056
PRJ_019,100,STU_104
PRJ_002,100,STU_090
PRJ_001,100,STU_090
PRJ_010,100,STU_050
PRJ_002,90,STU_090
PRJ_021,75,STU_090
PRJ_003,75,STU_050
PRJ_007,85,STU_050
PRJ_016,80,STU_050
PRJ_009,70,STU_090
PRJ_013,80,STU_050
PRJ_010,65,STU_090
PRJ_002,65,STU_050
PRJ_008,55,STU_090
PRJ_015,45,STU_090
PRJ_019,35,STU_090
PRJ_015,65,STU_050
PRJ_019,55,STU_050
PRJ_002,100,STU_063
PRJ_008,60,STU_050
PRJ_011,40,STU_050
PRJ_021,40,STU_050
PRJ_012,40,STU_050
PRJ_017,40,STU_050
PRJ_009,35,STU_050
PRJ_001,45,STU_050
PRJ_006,0,STU_050
PRJ_001,100,STU_052
PRJ_009,20,STU_050
PRJ_002,90,STU_052
PRJ_004,0,STU_050
PRJ_021,75,STU_052
PRJ_005,10,STU_050
PRJ_009,70,STU_052
PRJ_010,65,STU_052
PRJ_020,0,STU_050
PRJ_008,55,STU_052
PRJ_014,0,STU_050
PRJ_015,45,STU_052
PRJ_019,35,STU_052
PRJ_010,95,STU_063
PRJ_002,100,STU_026
PRJ_004,0,STU_026
PRJ_019,20,STU_026
PRJ_010,60,STU_026
PRJ_008,50,STU_026
PRJ_001,60,STU_026
PRJ_011,60,STU_026
PRJ_021,70,STU_026
PRJ_002,100,STU_026
PRJ_012,20,STU_026
PRJ_003,40,STU_026
PRJ_017,50,STU_026
PRJ_015,0,STU_026
PRJ_006,0,STU_026
PRJ_005,40,STU_026
PRJ_007,35,STU_026
PRJ_020,10,STU_026
PRJ_014,10,STU_026
PRJ_013,20,STU_026
PRJ_016,10,STU_026
PRJ_009,35,STU_026
PRJ_004,0,STU_026
PRJ_016,100,STU_004
PRJ_002,100,STU_013
PRJ_012,90,STU_013
PRJ_010,80,STU_013
PRJ_015,80,STU_013
PRJ_008,50,STU_013
PRJ_013,65,STU_013
PRJ_002,100,STU_093
PRJ_021,100,STU_043
PRJ_021,100,STU_097
PRJ_010,90,STU_043
PRJ_002,80,STU_043
PRJ_010,90,STU_097
PRJ_002,80,STU_097
PRJ_010,100,STU_105
PRJ_006,90,STU_105
PRJ_013,100,STU_003
PRJ_003,95,STU_003
PRJ_002,100,STU_058
PRJ_012,100,STU_058
PRJ_021,50,STU_058
PRJ_020,75,STU_058
PRJ_013,100,STU_099
PRJ_002,80,STU_099
PRJ_012,95,STU_099
PRJ_004,20,STU_099
PRJ_019,30,STU_099
PRJ_015,60,STU_099
PRJ_002,100,STU_048
PRJ_010,90,STU_048
PRJ_008,100,STU_069
PRJ_016,95,STU_069
PRJ_013,95,STU_069
PRJ_009,90,STU_069
PRJ_005,90,STU_069
PRJ_008,100,STU_073
PRJ_016,95,STU_073
PRJ_013,95,STU_073
PRJ_009,90,STU_073
PRJ_005,90,STU_073
PRJ_001,100,STU_027
PRJ_013,100,STU_062
PRJ_012,95,STU_062
PRJ_002,75,STU_062
PRJ_003,70,STU_062
PRJ_004,65,STU_062
PRJ_005,60,STU_062
PRJ_015,50,STU_062
PRJ_007,40,STU_062
PRJ_020,30,STU_062
PRJ_021,20,STU_062
PRJ_011,10,STU_062
PRJ_008,100,STU_045
PRJ_016,95,STU_045
PRJ_013,95,STU_045
PRJ_009,90,STU_045
PRJ_005,90,STU_045
PRJ_005,100,STU_051
PRJ_003,90,STU_051
PRJ_007,100,STU_081
PRJ_012,95,STU_051
PRJ_012,80,STU_081
PRJ_006,75,STU_081
PRJ_011,75,STU_051
PRJ_021,70,STU_081
PRJ_021,90,STU_024
PRJ_010,95,STU_024
PRJ_002,92,STU_024
PRJ_015,80,STU_024
PRJ_002,100,STU_087
PRJ_002,100,STU_087
PRJ_003,85,STU_100
PRJ_012,80,STU_100
PRJ_002,70,STU_100
PRJ_015,80,STU_100
PRJ_004,75,STU_100
PRJ_016,50,STU_100
PRJ_013,40,STU_100
PRJ_001,90,STU_087
PRJ_019,80,STU_087
PRJ_008,95,STU_087
PRJ_005,85,STU_087
PRJ_003,75,STU_087
PRJ_016,5,STU_087
PRJ_013,5,STU_087
PRJ_004,5,STU_087
PRJ_009,75,STU_087
PRJ_011,5,STU_087
PRJ_004,0,STU_086
PRJ_010,95,STU_063
PRJ_002,100,STU_063
PRJ_012,35,STU_063
PRJ_016,96,STU_003
PRJ_002,100,STU_063
PRJ_010,80,STU_063
PRJ_021,65,STU_063
PRJ_003,65,STU_063
PRJ_012,60,STU_063
PRJ_013,45,STU_063
PRJ_011,14,STU_063
PRJ_015,9,STU_063
PRJ_002,100,STU_020
PRJ_001,100,STU_101
PRJ_002,90,STU_101
PRJ_008,99,STU_093
PRJ_004,98,STU_093
PRJ_003,97,STU_093
PRJ_010,95,STU_101
PRJ_005,96,STU_093
PRJ_009,95,STU_093
PRJ_009,80,STU_101
PRJ_013,80,STU_101
PRJ_016,80,STU_101
PRJ_002,75,STU_101
PRJ_017,65,STU_101
PRJ_007,94,STU_093
PRJ_016,30,STU_093
PRJ_013,29,STU_093
PRJ_017,28,STU_093
PRJ_002,100,STU_020
PRJ_015,27,STU_093
PRJ_010,26,STU_093
PRJ_019,25,STU_093
PRJ_001,24,STU_093
PRJ_011,45,STU_093
PRJ_021,44,STU_093
PRJ_012,46,STU_093
PRJ_006,1,STU_093
PRJ_010,100,STU_105
PRJ_004,70,STU_027
PRJ_005,60,STU_027
PRJ_017,60,STU_027
PRJ_008,55,STU_027
PRJ_016,40,STU_027
PRJ_013,35,STU_027
PRJ_019,35,STU_027
PRJ_010,5,STU_027
PRJ_011,0,STU_027
PRJ_021,0,STU_027
PRJ_002,15,STU_027
PRJ_012,0,STU_027
PRJ_003,5,STU_027
PRJ_015,0,STU_027
PRJ_006,0,STU_027
PRJ_007,0,STU_027
PRJ_020,0,STU_027
PRJ_014,0,STU_027
PRJ_009,0,STU_027
PRJ_002,100,STU_029
PRJ_003,100,STU_029
PRJ_008,99,STU_029
PRJ_009,98,STU_029
PRJ_010,98,STU_029
PRJ_005,97,STU_029
PRJ_008,100,STU_019
PRJ_009,100,STU_019
PRJ_017,85,STU_053
PRJ_019,97,STU_019
PRJ_021,97,STU_019
PRJ_002,90,STU_102
PRJ_016,98,STU_019
PRJ_010,98,STU_019
PRJ_005,98,STU_019
PRJ_002,60,STU_019
PRJ_003,85,STU_019
PRJ_001,65,STU_019
PRJ_013,95,STU_019
PRJ_011,96,STU_019
PRJ_008,100,STU_069
PRJ_002,100,STU_044
PRJ_002,100,STU_044
PRJ_021,100,STU_031
PRJ_012,95,STU_031
PRJ_011,88,STU_031
PRJ_010,85,STU_031
PRJ_015,80,STU_031
PRJ_017,90,STU_044
PRJ_012,80,STU_044
PRJ_008,70,STU_044
PRJ_021,100,STU_059
PRJ_019,100,STU_059
PRJ_009,50,STU_059
PRJ_008,50,STU_059
PRJ_001,0,STU_059
PRJ_010,0,STU_059
PRJ_012,0,STU_059
PRJ_006,0,STU_059
PRJ_004,0,STU_059
PRJ_013,0,STU_059
PRJ_020,0,STU_059
PRJ_015,0,STU_059
PRJ_002,90,STU_102
PRJ_012,88,STU_102
PRJ_007,86,STU_102
PRJ_013,85,STU_102
PRJ_016,85,STU_102
